3900000.00	-80.3800905	26.0858905
3200000.00	-80.3764345	26.0810714
2700000.00	-80.38024	26.0753147
2550000.00	-80.4036567	26.0773141
2196000.00	-80.379131	26.0750348
2050000.00	-80.3863503	26.0867635
1750000.00	-80.4040915	26.1016633
1825000.00	-80.3978303	26.0897253
1750000.00	-80.38348	26.0823658
1700000.00	-80.3771303	26.0825808
1700000.00	-80.3978303	26.0748221
1450000.00	-80.3998305	26.0923275
1748000.00	-80.3999394	26.0763576
1525000.00	-80.38348	26.0771544
1490000.00	-80.3839149	26.0893434
1695000.00	-80.3888725	26.0825437
1445000.00	-80.3966998	26.0927583
1590000.00	-80.4067002	26.0798945
1300000.00	-80.4017436	26.0936438
1575000.00	-80.400093	26.07612
1522350.00	-80.3869591	26.0854328
1050000.00	-80.379044	26.0745718
1425000.00	-80.3939168	26.082698
1200000.00	-80.3140422	25.9783145
1325000.00	-80.4065262	26.1074943
1025000.00	-80.4057219	26.1010637
1280000.00	-80.3941777	26.0818012
1280000.00	-80.396091	26.1127393
1225000.00	-80.3793049	26.0740407
975000.00	-80.3778065	26.0799054
1165000.00	-80.3998305	26.0937903
1200000.00	-80.4048741	26.1009842
1145000.00	-80.3544241	26.0026061
1100000.00	-80.3773261	26.0753025
1200000.00	-80.4058306	26.1051622
1100000.00	-80.4053958	26.1096129
1150000.00	-80.3968737	26.0837185
1100000.00	-80.4078306	26.1074899
1150000.00	-80.4039176	26.0968976
1150000.00	-80.4073958	26.1005126
1075000.00	-80.3998305	26.1209427
1155420.00	-80.3898292	26.0813276
1150000.00	-80.406461	26.1026216
1100000.00	-80.4065262	26.1002717
1135000.00	-80.4042654	26.1031377
1125000.00	-80.4071349	26.1045179
1040615.00	-80.41846	26.1164961
900000.00	-80.3183076	25.9739371
1100000.00	-80.3999174	26.1175661
1025000.00	-80.4013088	26.1197617
995000.00	-80.3979173	26.0846111
1050000.00	-80.4011349	26.0947917
1000000.00	-80.4071567	26.1136388
1070000.00	-80.3336264	25.9696607
1060000.00	-80.4020045	26.1185283
975000.00	-80.4067871	26.1074203
985000.00	-80.396091	26.0874148
981000.00	-80.3968737	26.0830785
1026000.00	-80.4004392	26.1207092
