3121	690000
1648	372500
1520	175000
1990	367000
1771	366000
1771	366000
2110	410000
1628	420000
2035	390100
1591	402500
2682	615000
1577	355000
3098	488000
1185	225000
4226	875000
1755	355000
1516	235000
1935	375000
3858	605000
1905	275000
1980	355000
1521	319000
1606	360000
2164	438000
1418	318000
2688	437000
1053	166000
1185	252000
4288	760000
2621	535000
3833	615000
1718	301000
2299	405000
2383	517000
1260	300000
1544	280000
1948	290000
2036	417501
2107	381000
3894	686000
1511	320000
2276	328000
2260	360000
3258	520000
3735	467500
1881	380000
1881	380000
1209	255000
1611	435000
2618	400000
1357	186900
3725	810000
1088	255000
3994	540000
2408	373000
872	224900
2269	361000
1610	367500
1298	207500
1738	525000
3085	540000
2053	385000
1245	205000
2087	360000
1696	300000
2046	275000
1117	210000
2742	427000
1304	307000
862	192000
1098	237000
1795	350000
4240	765000
1205	185000
1703	390000
1711	365000
1552	385000
1902	445000
2238	360000
1900	415000
1903	351200
2535	419000
1469	325000
1702	306000
1999	365000
1648	366000
1527	279000
2549	479000
1881	322000
1556	340000
2962	432000
2196	295000
2723	525000
1764	327000
2198	463000
1627	380000
1905	425000
1857	420000
1984	370000
2688	460000
1866	275000
3475	525000
2543	419000
2543	419000
2745	539000
2846	440500
4262	645000
2332	460000
2625	520009
2336	395000
920	245000
1822	395000
3057	594000
2830	520000
2830	520000
2262	545000
2051	485000
3200	416000
1377	279000
3367	550000
1785	285000
1640	325000
5367	910000
1125	240000
1125	240000
1200	222000
2571	600000
1702	327500
2113	420000
3747	675000
1881	360000
1624	348000
2056	341000
1363	285000
3430	550000
2410	561750
2999	532000
2213	390000
993	265000
1627	320000
1548	334900
4271	1200000
2497	385000
2443	475000
1569	350000
1128	318000
1254	254000
2053	390000
3552	520000
2760	480000
1578	375000
3794	665000
1667	350000
3854	605000
2524	425000
1711	295000
5000	845000
3702	491000
2938	690000
2163	405000
1611	285000
1626	154000
2075	410000
2106	482500
1440	370000
3526	570000
2743	435000
2055	523000
1831	325000
1902	385000
4836	885000
1838	390000
3321	720000
1385	245000
2436	405000
914	235000
1836	247000
1945	346000
1148	275000
2153	410000
3092	547000
2598	540000
2313	418000
3299	518000
2114	350000
1822	336750
2400	385000
1456	264000
2290	410000
1468	376500
2730	610000
2572	455000
1477	352000
1475	320000
1622	320000
1622	320000
1877	411000
3489	565000
4288	750000
688	152000
2378	410000
3043	475000
3170	490000
2905	600000
1765	430000
1246	345000
3972	549000
1763	322000
1113	223000
3709	865000
5141	875000
2062	410000
3545	485000
3540	907500
1477	379000
1477	379000
2249	550000
4687	1100000
2711	455000
2040	360000
2040	360000
2183	296000
1526	325000
1500	298000
2036	345000
2285	440000
1948	495000
2084	335000
1870	335000
3385	412000
3143	640000
2672	515000
1682	385000
1628	352500
1966	360000
744	200500
3632	540000
1560	210000
1269	265000
3424	580000
2702	515000
1900	380000
3113	375900
1799	375500
1630	295000
2100	425000
3395	500000
1635	275000
1730	332000
4407	680000
3106	475000
1419	245500
1485	307000
3106	479000
2085	320000
1347	280000
2460	422000
2077	387000
2134	450000
2170	450000
2262	385000
2271	370000
4191	1700000
1522	341500
674	213000
1708	375100
2751	412000
1544	220000
3837	685000
1206	218000
1952	385000
1616	28500
4505	930000
2190	435000
2190	435000
7281	1590000
3609	600000
1057	249000
1966	288265
3943	685000
2220	355000
3104	424000
3934	760000
2364	449000
2708	705000
3768	475000
3377	640000
2566	467000
1290	252000
2525	445000
2478	180000
2348	306000
1965	355000
1401	356000
3414	540000
3499	650000
3383	697000
2248	423550
1815	390000
3059	380000
2578	463750
2162	465000
971	231000
3469	943000
4264	827000
2453	429000
2188	400000
2714	450000
2714	450000
3130	580000
1115	306000
3370	457000
4641	700000
1049	205000
2742	532000
1658	225000
2175	422000
2156	383000
3071	630800
3375	680000
1337	250000
2100	402000
1971	360000
1971	360000
2954	462000
1371	308000
1847	425000
3233	430000
2971	840000
1483	350000
2235	426000
